experiment,model,magnification,feature_set,stain_normalization,num_normal,num_tumour,use_scaling,accuracy_mean,accuracy_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,f1_score_mean,f1_score_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,mcc_mean,mcc_std,accuracy_ci_low,accuracy_ci_high
rf_unscaled_color_reinhard_20img_100x_seed_42,rf,100x,color,reinhard,20,20,False,0.709,0.131,0.795,0.158,0.86,0.107,0.791,0.195,0.684,0.175,0.67,0.247,0.75,0.255,0.459,0.264,0.655,0.763
rf_unscaled_color_reinhard_20img_400x_seed_42,rf,400x,color,reinhard,20,20,False,0.497,0.17,0.568,0.217,0.646,0.146,0.495,0.203,0.467,0.208,0.46,0.236,0.537,0.206,-0.009,0.354,0.427,0.567
rf_unscaled_color_reinhard_89img_100x_seed_42,rf,100x,color,reinhard,89,89,False,0.755,0.072,0.824,0.056,0.828,0.064,0.784,0.085,0.737,0.091,0.705,0.123,0.804,0.085,0.516,0.145,0.726,0.785
rf_unscaled_color_reinhard_full_100x_seed_42,rf,100x,color,reinhard,89,439,False,0.868,0.024,0.849,0.046,0.961,0.015,0.894,0.026,0.923,0.014,0.955,0.022,0.438,0.159,0.465,0.125,0.858,0.878
rf_unscaled_color_reinhard_full_400x_seed_42,rf,400x,color,reinhard,201,495,False,0.825,0.031,0.846,0.038,0.914,0.026,0.843,0.024,0.882,0.021,0.924,0.025,0.586,0.071,0.556,0.083,0.812,0.838
rf_unscaled_haralick_no_norm_201img_400x_seed_42,rf,400x,haralick,,201,201,False,0.652,0.051,0.712,0.054,0.714,0.063,0.648,0.059,0.653,0.055,0.664,0.077,0.641,0.085,0.307,0.102,0.631,0.673
rf_unscaled_haralick_no_norm_20img_100x_seed_42,rf,100x,haralick,,20,20,False,0.398,0.159,0.456,0.24,0.601,0.154,0.36,0.213,0.377,0.238,0.42,0.304,0.373,0.244,-0.231,0.352,0.332,0.463
rf_unscaled_haralick_no_norm_20img_400x_seed_42,rf,400x,haralick,,20,20,False,0.521,0.142,0.582,0.184,0.721,0.134,0.511,0.235,0.535,0.214,0.61,0.289,0.42,0.316,0.032,0.319,0.462,0.58
rf_unscaled_haralick_no_norm_89img_100x_seed_42,rf,100x,haralick,,89,89,False,0.685,0.056,0.781,0.058,0.803,0.054,0.691,0.07,0.681,0.064,0.688,0.126,0.681,0.133,0.379,0.112,0.661,0.708
rf_unscaled_haralick_no_norm_full_100x_seed_42,rf,100x,haralick,,89,439,False,0.854,0.03,0.817,0.057,0.953,0.017,0.886,0.015,0.915,0.018,0.947,0.03,0.397,0.094,0.415,0.124,0.842,0.867
rf_unscaled_haralick_no_norm_full_400x_seed_42,rf,400x,haralick,,201,495,False,0.728,0.025,0.741,0.034,0.87,0.023,0.788,0.025,0.814,0.018,0.844,0.031,0.451,0.084,0.313,0.072,0.718,0.739
rf_unscaled_haralick_reinhard_201img_400x_seed_42,rf,400x,haralick,reinhard,201,201,False,0.652,0.051,0.712,0.054,0.714,0.063,0.648,0.059,0.653,0.055,0.664,0.077,0.641,0.085,0.307,0.102,0.631,0.673
rf_unscaled_haralick_reinhard_20img_100x_seed_42,rf,100x,haralick,reinhard,20,20,False,0.398,0.159,0.456,0.24,0.601,0.154,0.36,0.213,0.377,0.238,0.42,0.304,0.373,0.244,-0.231,0.352,0.332,0.463
rf_unscaled_haralick_reinhard_20img_400x_seed_42,rf,400x,haralick,reinhard,20,20,False,0.521,0.142,0.582,0.184,0.721,0.134,0.511,0.235,0.535,0.214,0.61,0.289,0.42,0.316,0.032,0.319,0.462,0.58
rf_unscaled_haralick_reinhard_89img_100x_seed_42,rf,100x,haralick,reinhard,89,89,False,0.685,0.056,0.781,0.058,0.803,0.054,0.691,0.07,0.681,0.064,0.688,0.126,0.681,0.133,0.379,0.112,0.661,0.708
rf_unscaled_haralick_reinhard_full_100x_seed_42,rf,100x,haralick,reinhard,89,439,False,0.854,0.03,0.817,0.057,0.953,0.017,0.886,0.015,0.915,0.018,0.947,0.03,0.397,0.094,0.415,0.124,0.842,0.867
rf_unscaled_haralick_reinhard_full_400x_seed_42,rf,400x,haralick,reinhard,201,495,False,0.728,0.025,0.741,0.034,0.87,0.023,0.788,0.025,0.814,0.018,0.844,0.031,0.451,0.084,0.313,0.072,0.718,0.739
rf_unscaled_lbp_haralick_no_norm_201img_400x_seed_42,rf,400x,lbp_haralick,,201,201,False,0.707,0.044,0.782,0.044,0.769,0.047,0.682,0.044,0.722,0.049,0.772,0.084,0.643,0.072,0.422,0.091,0.689,0.725
rf_unscaled_lbp_haralick_no_norm_20img_100x_seed_42,rf,100x,lbp_haralick,,20,20,False,0.691,0.138,0.738,0.2,0.82,0.15,0.716,0.149,0.705,0.132,0.73,0.176,0.647,0.237,0.388,0.3,0.634,0.749
rf_unscaled_lbp_haralick_no_norm_20img_400x_seed_42,rf,400x,lbp_haralick,,20,20,False,0.539,0.129,0.597,0.207,0.706,0.15,0.546,0.144,0.58,0.152,0.66,0.249,0.407,0.247,0.084,0.295,0.486,0.592
rf_unscaled_lbp_haralick_no_norm_89img_100x_seed_42,rf,100x,lbp_haralick,,89,89,False,0.723,0.075,0.823,0.064,0.836,0.068,0.752,0.097,0.709,0.082,0.684,0.121,0.763,0.125,0.457,0.151,0.692,0.754
rf_unscaled_lbp_haralick_no_norm_full_100x_seed_42,rf,100x,lbp_haralick,,89,439,False,0.877,0.017,0.893,0.034,0.973,0.011,0.885,0.018,0.93,0.009,0.981,0.016,0.365,0.12,0.484,0.1,0.87,0.884
rf_unscaled_lbp_haralick_no_norm_full_400x_seed_42,rf,400x,lbp_haralick,,201,495,False,0.785,0.025,0.815,0.039,0.908,0.024,0.795,0.02,0.861,0.015,0.939,0.018,0.416,0.074,0.434,0.077,0.775,0.796
rf_unscaled_lbp_haralick_reinhard_201img_400x_seed_42,rf,400x,lbp_haralick,reinhard,201,201,False,0.707,0.044,0.782,0.044,0.769,0.047,0.682,0.044,0.722,0.049,0.772,0.084,0.643,0.072,0.422,0.091,0.689,0.725
rf_unscaled_lbp_haralick_reinhard_20img_100x_seed_42,rf,100x,lbp_haralick,reinhard,20,20,False,0.691,0.138,0.738,0.2,0.82,0.15,0.716,0.149,0.705,0.132,0.73,0.176,0.647,0.237,0.388,0.3,0.634,0.749
rf_unscaled_lbp_haralick_reinhard_20img_400x_seed_42,rf,400x,lbp_haralick,reinhard,20,20,False,0.539,0.129,0.597,0.207,0.706,0.15,0.546,0.144,0.58,0.152,0.66,0.249,0.407,0.247,0.084,0.295,0.486,0.592
