experiment,model,magnification,feature_set,stain_normalization,num_normal,num_tumour,use_scaling,accuracy_mean,accuracy_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,f1_score_mean,f1_score_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,mcc_mean,mcc_std,accuracy_ci_low,accuracy_ci_high
svm_unscaled_haralick_reinhard_full_100x_seed_42,svm,100x,haralick,reinhard,89,439,False,0.743,0.042,0.776,0.055,0.945,0.014,0.914,0.027,0.831,0.032,0.764,0.051,0.639,0.13,0.33,0.102,0.726,0.761
svm_unscaled_haralick_reinhard_full_400x_seed_42,svm,400x,haralick,reinhard,201,495,False,0.657,0.035,0.681,0.037,0.834,0.024,0.805,0.025,0.736,0.032,0.68,0.047,0.603,0.061,0.264,0.066,0.643,0.672
svm_unscaled_lbp_haralick_no_norm_201img_400x_seed_42,svm,400x,lbp_haralick,,201,201,False,0.629,0.053,0.688,0.051,0.657,0.061,0.595,0.041,0.678,0.054,0.795,0.096,0.466,0.089,0.28,0.115,0.607,0.651
svm_unscaled_lbp_haralick_no_norm_20img_100x_seed_42,svm,100x,lbp_haralick,,20,20,False,0.409,0.155,0.575,0.172,0.675,0.131,0.121,0.211,0.137,0.242,0.16,0.288,0.65,0.412,-0.213,0.32,0.345,0.473
svm_unscaled_lbp_haralick_no_norm_20img_400x_seed_42,svm,400x,lbp_haralick,,20,20,False,0.576,0.115,0.556,0.22,0.666,0.141,0.412,0.301,0.449,0.33,0.51,0.392,0.623,0.332,0.147,0.258,0.529,0.624
svm_unscaled_lbp_haralick_no_norm_89img_100x_seed_42,svm,100x,lbp_haralick,,89,89,False,0.651,0.08,0.715,0.096,0.734,0.088,0.64,0.093,0.672,0.075,0.72,0.108,0.584,0.138,0.313,0.163,0.618,0.685
svm_unscaled_lbp_haralick_no_norm_full_100x_seed_42,svm,100x,lbp_haralick,,89,439,False,0.747,0.046,0.781,0.053,0.947,0.013,0.913,0.026,0.834,0.034,0.77,0.053,0.635,0.124,0.334,0.107,0.728,0.766
svm_unscaled_lbp_haralick_no_norm_full_400x_seed_42,svm,400x,lbp_haralick,,201,495,False,0.703,0.037,0.712,0.04,0.838,0.032,0.797,0.021,0.787,0.032,0.779,0.055,0.522,0.068,0.299,0.074,0.688,0.719
svm_unscaled_lbp_haralick_reinhard_201img_400x_seed_42,svm,400x,lbp_haralick,reinhard,201,201,False,0.629,0.053,0.688,0.051,0.657,0.061,0.595,0.041,0.678,0.054,0.795,0.096,0.466,0.089,0.28,0.115,0.607,0.651
svm_unscaled_lbp_haralick_reinhard_20img_100x_seed_42,svm,100x,lbp_haralick,reinhard,20,20,False,0.409,0.155,0.575,0.172,0.675,0.131,0.121,0.211,0.137,0.242,0.16,0.288,0.65,0.412,-0.213,0.32,0.345,0.473
svm_unscaled_lbp_haralick_reinhard_20img_400x_seed_42,svm,400x,lbp_haralick,reinhard,20,20,False,0.576,0.115,0.556,0.22,0.666,0.141,0.412,0.301,0.449,0.33,0.51,0.392,0.623,0.332,0.147,0.258,0.529,0.624
svm_unscaled_lbp_haralick_reinhard_89img_100x_seed_42,svm,100x,lbp_haralick,reinhard,89,89,False,0.651,0.08,0.715,0.096,0.734,0.088,0.64,0.093,0.672,0.075,0.72,0.108,0.584,0.138,0.313,0.163,0.618,0.685
svm_unscaled_lbp_haralick_reinhard_full_100x_seed_42,svm,100x,lbp_haralick,reinhard,89,439,False,0.747,0.046,0.781,0.053,0.947,0.013,0.913,0.026,0.834,0.034,0.77,0.053,0.635,0.124,0.334,0.107,0.728,0.766
svm_unscaled_lbp_haralick_reinhard_full_400x_seed_42,svm,400x,lbp_haralick,reinhard,201,495,False,0.703,0.037,0.712,0.04,0.838,0.032,0.797,0.021,0.787,0.032,0.779,0.055,0.522,0.068,0.299,0.074,0.688,0.719
svm_unscaled_lbp_no_norm_201img_400x_seed_42,svm,400x,lbp,,201,201,False,0.656,0.049,0.754,0.052,0.768,0.059,0.626,0.044,0.689,0.044,0.77,0.063,0.544,0.077,0.324,0.099,0.636,0.676
svm_unscaled_lbp_no_norm_20img_100x_seed_42,svm,100x,lbp,,20,20,False,0.697,0.136,0.657,0.224,0.753,0.167,0.64,0.263,0.634,0.279,0.65,0.323,0.743,0.17,0.408,0.283,0.641,0.753
svm_unscaled_lbp_no_norm_20img_400x_seed_42,svm,400x,lbp,,20,20,False,0.518,0.13,0.465,0.213,0.611,0.167,0.412,0.258,0.452,0.285,0.53,0.356,0.487,0.391,0.008,0.295,0.464,0.572
svm_unscaled_lbp_no_norm_89img_100x_seed_42,svm,100x,lbp,,89,89,False,0.703,0.068,0.772,0.07,0.817,0.053,0.762,0.091,0.659,0.095,0.593,0.128,0.811,0.081,0.42,0.134,0.675,0.731
svm_unscaled_lbp_no_norm_full_100x_seed_42,svm,100x,lbp,,89,439,False,0.735,0.042,0.846,0.049,0.966,0.012,0.953,0.028,0.817,0.033,0.717,0.05,0.821,0.112,0.419,0.087,0.717,0.752
svm_unscaled_lbp_no_norm_full_400x_seed_42,svm,400x,lbp,,201,495,False,0.733,0.031,0.782,0.036,0.89,0.023,0.837,0.027,0.803,0.026,0.773,0.045,0.636,0.08,0.393,0.068,0.72,0.746
svm_unscaled_lbp_reinhard_201img_400x_seed_42,svm,400x,lbp,reinhard,201,201,False,0.656,0.049,0.754,0.052,0.768,0.059,0.626,0.044,0.689,0.044,0.77,0.063,0.544,0.077,0.324,0.099,0.636,0.676
svm_unscaled_lbp_reinhard_20img_100x_seed_42,svm,100x,lbp,reinhard,20,20,False,0.697,0.136,0.657,0.224,0.753,0.167,0.64,0.263,0.634,0.279,0.65,0.323,0.743,0.17,0.408,0.283,0.641,0.753
svm_unscaled_lbp_reinhard_20img_400x_seed_42,svm,400x,lbp,reinhard,20,20,False,0.518,0.13,0.465,0.213,0.611,0.167,0.412,0.258,0.452,0.285,0.53,0.356,0.487,0.391,0.008,0.295,0.464,0.572
svm_unscaled_lbp_reinhard_89img_100x_seed_42,svm,100x,lbp,reinhard,89,89,False,0.703,0.068,0.772,0.07,0.817,0.053,0.762,0.091,0.659,0.095,0.593,0.128,0.811,0.081,0.42,0.134,0.675,0.731
svm_unscaled_lbp_reinhard_full_100x_seed_42,svm,100x,lbp,reinhard,89,439,False,0.735,0.042,0.846,0.049,0.966,0.012,0.953,0.028,0.817,0.033,0.717,0.05,0.821,0.112,0.419,0.087,0.717,0.752
svm_unscaled_lbp_reinhard_full_400x_seed_42,svm,400x,lbp,reinhard,201,495,False,0.733,0.031,0.782,0.036,0.89,0.023,0.837,0.027,0.803,0.026,0.773,0.045,0.636,0.08,0.393,0.068,0.72,0.746
rf_unscaled_haralick_reinhard_full_100x_seed_42,rf,100x,haralick,reinhard,89,439,False,0.854,0.03,0.817,0.057,0.953,0.017,0.886,0.015,0.915,0.018,0.947,0.03,0.397,0.094,0.415,0.124,0.842,0.867
svm_scaled_all_no_norm_full_100x_seed_42,svm,100x,all,,89,439,True,0.908,0.026,0.954,0.026,0.99,0.007,0.976,0.02,0.943,0.017,0.912,0.034,0.886,0.1,0.724,0.073,0.897,0.919
